encoder_input,decoder_input,decoder_output
"['<ja>', '▁フランス', '軍が', 'ウィ', 'ーン', 'を占領', 'し', '、2', 'カ', '国の', '軍', '隊', 'を', '撃', '退', 'し', '、', 'オーストリア', '帝国', 'を', '屈', '服', '[MASK]', 'こと', 'は', '、', 'わ', 'ず', 'か', '何', 'ヶ', '月', '間で', '起きた', 'こと', 'なの']","['<ja>', '▁フランス', '軍が', 'ウィ', 'ーン', 'を占領', 'し', '、2', 'カ', '国の', '軍', '隊', 'を', '撃', '退', 'し', '、', 'オーストリア', '帝国', 'を', '屈', '服', 'させた', 'こと', 'は', '、', 'わ', 'ず', 'か', '何', 'ヶ', '月', '間で', '起きた', 'こと', 'なの']","['▁フランス', '軍が', 'ウィ', 'ーン', 'を占領', 'し', '、2', 'カ', '国の', '軍', '隊', 'を', '撃', '退', 'し', '、', 'オーストリア', '帝国', 'を', '屈', '服', 'させた', 'こと', 'は', '、', 'わ', 'ず', 'か', '何', 'ヶ', '月', '間で', '起きた', 'こと', 'なの', '<ja>']"
"['<ja>', '[MASK]', '年', 'ごろ', '[MASK]', 'ドイツ', 'で', 'ファン', '・', '[MASK]', 'の作品', 'の', '取り', '[MASK]', 'い', 'を', 'して', 'た', '画', '商', 'は誰ですか', '?', '▁', '</s>', '[MASK]', '年', '[MASK]', '各', '都市', 'で', '[MASK]', '展', 'を', '開', '[MASK]', '人物']","['<ja>', '▁1905', '年', 'ごろ', '、', 'ドイツ', 'で', 'ファン', '・', 'ゴッホ', 'の作品', 'の', '取り', '扱', 'い', 'を', 'して', 'た', '画', '商', 'は誰ですか', '?', '▁', '</s>', '▁1905', '年', 'ドイツの', '各', '都市', 'で', 'ゴッホ', '展', 'を', '開', 'いた', '人物']","['▁1905', '年', 'ごろ', '、', 'ドイツ', 'で', 'ファン', '・', 'ゴッホ', 'の作品', 'の', '取り', '扱', 'い', 'を', 'して', 'た', '画', '商', 'は誰ですか', '?', '▁', '</s>', '▁1905', '年', 'ドイツの', '各', '都市', 'で', 'ゴッホ', '展', 'を', '開', 'いた', '人物', '<ja>']"
"['<ja>', '[MASK]', '</s>', '[MASK]', '年', '2', '月', '21', '日に', 'M', '・', 'H', '・', 'サイ', 'チェ', 'ル', 'が', 'ジョ', 'ージ', '・', 'マー', 'シャル', 'との', '面', '会', 'を求', 'めて', '米', '国', '国', '務', '省', 'を', '訪', 'れた', '時']","['<ja>', '▁', '</s>', '▁1947', '年', '2', '月', '21', '日に', 'M', '・', 'H', '・', 'サイ', 'チェ', 'ル', 'が', 'ジョ', 'ージ', '・', 'マー', 'シャル', 'との', '面', '会', 'を求', 'めて', '米', '国', '国', '務', '省', 'を', '訪', 'れた', '時']","['▁', '</s>', '▁1947', '年', '2', '月', '21', '日に', 'M', '・', 'H', '・', 'サイ', 'チェ', 'ル', 'が', 'ジョ', 'ージ', '・', 'マー', 'シャル', 'との', '面', '会', 'を求', 'めて', '米', '国', '国', '務', '省', 'を', '訪', 'れた', '時', '<ja>']"
"['<ja>', '[MASK]', 'ウ', 'シ', 'カ', 'の', 'アニメ', 'ージ', 'ュ', '初', '掲載', 'は', '198', '2', '[MASK]', '何月', '[MASK]', '[MASK]', '?', '[MASK]', '</s>', '[MASK]', '徳', '間', '書', '店', 'の', '当時の', '社', '長', 'の名前は', 'なんですか', '?', '[MASK]', '</s>', '[MASK]']","['<ja>', '▁ナ', 'ウ', 'シ', 'カ', 'の', 'アニメ', 'ージ', 'ュ', '初', '掲載', 'は', '198', '2', '年の', '何月', '号', 'ですか', '?', '▁', '</s>', '▁', '徳', '間', '書', '店', 'の', '当時の', '社', '長', 'の名前は', 'なんですか', '?', '▁', '</s>', '▁ナ']","['▁ナ', 'ウ', 'シ', 'カ', 'の', 'アニメ', 'ージ', 'ュ', '初', '掲載', 'は', '198', '2', '年の', '何月', '号', 'ですか', '?', '▁', '</s>', '▁', '徳', '間', '書', '店', 'の', '当時の', '社', '長', 'の名前は', 'なんですか', '?', '▁', '</s>', '▁ナ', '<ja>']"
"['<ja>', '▁ユ', '[MASK]', 'ロ', 'ビ', 'ジョン', '[MASK]', 'ソ', 'ング', '[MASK]', '[MASK]', 'テ', 'スト', '2009', 'の', '舞台', 'は何を', 'テーマ', 'に基づ', 'いた', 'か', '[MASK]', '▁', '</s>', '▁ユ', '[MASK]', 'ロ', 'ビ', 'ジョン', '[MASK]', 'ソ', 'ング', '[MASK]', '[MASK]', 'テ', 'スト']","['<ja>', '▁ユ', 'ー', 'ロ', 'ビ', 'ジョン', '・', 'ソ', 'ング', '・', 'コン', 'テ', 'スト', '2009', 'の', '舞台', 'は何を', 'テーマ', 'に基づ', 'いた', 'か', '。', '▁', '</s>', '▁ユ', 'ー', 'ロ', 'ビ', 'ジョン', '・', 'ソ', 'ング', '・', 'コン', 'テ', 'スト']","['▁ユ', 'ー', 'ロ', 'ビ', 'ジョン', '・', 'ソ', 'ング', '・', 'コン', 'テ', 'スト', '2009', 'の', '舞台', 'は何を', 'テーマ', 'に基づ', 'いた', 'か', '。', '▁', '</s>', '▁ユ', 'ー', 'ロ', 'ビ', 'ジョン', '・', 'ソ', 'ング', '・', 'コン', 'テ', 'スト', '<ja>']"
"['<ja>', '▁イ', 'サ', 'キ', 'オス', '2', '世の', 'ブル', 'ガリア', 'での', '蜂起', 'を', '制', '圧', 'するために', '[MASK]', 'きた', '時', '、', 'ペ', 'タル', 'とア', 'セ', 'ンは', '、', 'どのような人々', 'の', 'もと', 'に', '逃', 'げ', 'たか', '?', '▁', '</s>', '[MASK]']","['<ja>', '▁イ', 'サ', 'キ', 'オス', '2', '世の', 'ブル', 'ガリア', 'での', '蜂起', 'を', '制', '圧', 'するために', 'やって', 'きた', '時', '、', 'ペ', 'タル', 'とア', 'セ', 'ンは', '、', 'どのような人々', 'の', 'もと', 'に', '逃', 'げ', 'たか', '?', '▁', '</s>', '▁11']","['▁イ', 'サ', 'キ', 'オス', '2', '世の', 'ブル', 'ガリア', 'での', '蜂起', 'を', '制', '圧', 'するために', 'やって', 'きた', '時', '、', 'ペ', 'タル', 'とア', 'セ', 'ンは', '、', 'どのような人々', 'の', 'もと', 'に', '逃', 'げ', 'たか', '?', '▁', '</s>', '▁11', '<ja>']"
"['<ja>', '▁1848', '年以降', 'の', '[MASK]', 'で', '入', '植', '者が', '殺', '到', '[MASK]', '、', '人口', 'と', '地', '[MASK]', 'での', 'ワイン', 'の', '需要', 'が', '増加', 'した', '要因', 'は何ですか', '。', '▁', '</s>', '▁フランス', '人', '移民', 'の', 'ジャン', '=', 'ルイ']","['<ja>', '▁1848', '年以降', 'の', 'カリフォルニア', 'で', '入', '植', '者が', '殺', '到', 'し', '、', '人口', 'と', '地', '元', 'での', 'ワイン', 'の', '需要', 'が', '増加', 'した', '要因', 'は何ですか', '。', '▁', '</s>', '▁フランス', '人', '移民', 'の', 'ジャン', '=', 'ルイ']","['▁1848', '年以降', 'の', 'カリフォルニア', 'で', '入', '植', '者が', '殺', '到', 'し', '、', '人口', 'と', '地', '元', 'での', 'ワイン', 'の', '需要', 'が', '増加', 'した', '要因', 'は何ですか', '。', '▁', '</s>', '▁フランス', '人', '移民', 'の', 'ジャン', '=', 'ルイ', '<ja>']"
"['<ja>', '▁', '最初', '期の', '火山', '活動', 'で', '噴', '出した', '溶', '岩', 'の主', '成分', 'は何でしたか', '?', '▁', '</s>', '▁', '最初', '期の', '火山', '活動', 'で', '生じ', 'た', '火', '成', '岩', 'はどこで', '見', 'る', 'ことが', 'できる', 'の', '?', '▁']","['<ja>', '▁', '最初', '期の', '火山', '活動', 'で', '噴', '出した', '溶', '岩', 'の主', '成分', 'は何でしたか', '?', '▁', '</s>', '▁', '最初', '期の', '火山', '活動', 'で', '生じ', 'た', '火', '成', '岩', 'はどこで', '見', 'る', 'ことが', 'できる', 'の', '?', '▁']","['▁', '最初', '期の', '火山', '活動', 'で', '噴', '出した', '溶', '岩', 'の主', '成分', 'は何でしたか', '?', '▁', '</s>', '▁', '最初', '期の', '火山', '活動', 'で', '生じ', 'た', '火', '成', '岩', 'はどこで', '見', 'る', 'ことが', 'できる', 'の', '?', '▁', '<ja>']"
"['<ja>', '▁', '太陽', '系の', '惑', '星', 'と', '小', '惑', '星', '[MASK]', '、', 'どちらの', '軌', '道', '傾', '斜', '角', 'の', '[MASK]', '値', 'がより', '大き', 'いですか', '?', '▁', '</s>', '▁', '短', '周期', '[MASK]', 'と', '長', '周期', '[MASK]', '[MASK]']","['<ja>', '▁', '太陽', '系の', '惑', '星', 'と', '小', '惑', '星', 'のうち', '、', 'どちらの', '軌', '道', '傾', '斜', '角', 'の', '最大', '値', 'がより', '大き', 'いですか', '?', '▁', '</s>', '▁', '短', '周期', '彗星', 'と', '長', '周期', '彗星', 'のうち']","['▁', '太陽', '系の', '惑', '星', 'と', '小', '惑', '星', 'のうち', '、', 'どちらの', '軌', '道', '傾', '斜', '角', 'の', '最大', '値', 'がより', '大き', 'いですか', '?', '▁', '</s>', '▁', '短', '周期', '彗星', 'と', '長', '周期', '彗星', 'のうち', '<ja>']"
"['<ja>', '▁南', 'アメリカ', '[MASK]', '[MASK]', '、', '山脈', 'の', '頂', '[MASK]', '付近', 'から', '[MASK]', 'を', '収', '集', 'すること', 'にかけて', '長い', '歴史', 'を持っている', 'と', '書か', 'れている', '地域は', '、', 'どこ', 'なの', '?', '▁', '[MASK]', '▁', '植民地', '時代の', 'メキシコ', '[MASK]']","['<ja>', '▁南', 'アメリカ', 'と同じ', 'く', '、', '山脈', 'の', '頂', '上', '付近', 'から', '氷', 'を', '収', '集', 'すること', 'にかけて', '長い', '歴史', 'を持っている', 'と', '書か', 'れている', '地域は', '、', 'どこ', 'なの', '?', '▁', '</s>', '▁', '植民地', '時代の', 'メキシコ', 'と同じ']","['▁南', 'アメリカ', 'と同じ', 'く', '、', '山脈', 'の', '頂', '上', '付近', 'から', '氷', 'を', '収', '集', 'すること', 'にかけて', '長い', '歴史', 'を持っている', 'と', '書か', 'れている', '地域は', '、', 'どこ', 'なの', '?', '▁', '</s>', '▁', '植民地', '時代の', 'メキシコ', 'と同じ', '<ja>']"
"['<ja>', '50', '畳', 'の', '邸', '宅', 'を', '月', 'いくら', 'で', '借', 'り', '[MASK]', '。', '[MASK]', '</s>', '▁ト', '[MASK]', 'は', '仮', 'の', '塾', '名', 'を何', 'と', '決', '[MASK]', '。', '[MASK]', '</s>', '▁1922', '年', '2', '月', '1', '日']","['<ja>', '50', '畳', 'の', '邸', '宅', 'を', '月', 'いくら', 'で', '借', 'り', 'たか', '。', '▁', '</s>', '▁ト', 'クヨ', 'は', '仮', 'の', '塾', '名', 'を何', 'と', '決', 'めましたか', '。', '▁', '</s>', '▁1922', '年', '2', '月', '1', '日']","['50', '畳', 'の', '邸', '宅', 'を', '月', 'いくら', 'で', '借', 'り', 'たか', '。', '▁', '</s>', '▁ト', 'クヨ', 'は', '仮', 'の', '塾', '名', 'を何', 'と', '決', 'めましたか', '。', '▁', '</s>', '▁1922', '年', '2', '月', '1', '日', '<ja>']"
"['<ja>', '▁「', '株式会社', 'マ', 'リカ', 'ー', '」', 'に対し', '、', '終', '[MASK]', '[MASK]', 'が', '下', 'されたのは何年ですか', '[MASK]', '[MASK]', '</s>', '▁「', '株式会社', 'マ', 'リカ', 'ー', '」', 'に対し', '、', '終', '[MASK]', '[MASK]', 'が', '下', 'された', '裁判', '所', 'はどこですか', '[MASK]']","['<ja>', '▁「', '株式会社', 'マ', 'リカ', 'ー', '」', 'に対し', '、', '終', '局', '判決', 'が', '下', 'されたのは何年ですか', '?', '▁', '</s>', '▁「', '株式会社', 'マ', 'リカ', 'ー', '」', 'に対し', '、', '終', '局', '判決', 'が', '下', 'された', '裁判', '所', 'はどこですか', '?']","['▁「', '株式会社', 'マ', 'リカ', 'ー', '」', 'に対し', '、', '終', '局', '判決', 'が', '下', 'されたのは何年ですか', '?', '▁', '</s>', '▁「', '株式会社', 'マ', 'リカ', 'ー', '」', 'に対し', '、', '終', '局', '判決', 'が', '下', 'された', '裁判', '所', 'はどこですか', '?', '<ja>']"
"['<ja>', '▁', '生息', '環境', 'の', '急', '激', 'な', '悪', '化', '等', 'で', '絶滅', 'した', 'サン', 'ショ', '[MASK]', '[MASK]', 'オ', '類の', '[MASK]', 'は', 'カ', 'ス', 'ミ', 'サン', 'ショ', '[MASK]', '[MASK]', 'オ', '[MASK]', '?', '▁', '</s>', '▁『', '改']","['<ja>', '▁', '生息', '環境', 'の', '急', '激', 'な', '悪', '化', '等', 'で', '絶滅', 'した', 'サン', 'ショ', 'ウ', 'ウ', 'オ', '類の', '種', 'は', 'カ', 'ス', 'ミ', 'サン', 'ショ', 'ウ', 'ウ', 'オ', 'と何ですか', '?', '▁', '</s>', '▁『', '改']","['▁', '生息', '環境', 'の', '急', '激', 'な', '悪', '化', '等', 'で', '絶滅', 'した', 'サン', 'ショ', 'ウ', 'ウ', 'オ', '類の', '種', 'は', 'カ', 'ス', 'ミ', 'サン', 'ショ', 'ウ', 'ウ', 'オ', 'と何ですか', '?', '▁', '</s>', '▁『', '改', '<ja>']"
"['<ja>', '▁', '深海', '[MASK]', '[MASK]', '生', '体の', 'ま', 'ま', '[MASK]', '獲', 'にあた', 'って', '、', '急', '[MASK]', '[MASK]', '減', '圧', 'と何', 'が', '浮', '上', 'に', '伴', 'う', '大きな', '2', '[MASK]', '問題', 'と', 'されていますか', '?', '▁', '</s>', '▁高']","['<ja>', '▁', '深海', '魚', 'を', '生', '体の', 'ま', 'ま', '捕', '獲', 'にあた', 'って', '、', '急', '激', 'な', '減', '圧', 'と何', 'が', '浮', '上', 'に', '伴', 'う', '大きな', '2', 'つの', '問題', 'と', 'されていますか', '?', '▁', '</s>', '▁高']","['▁', '深海', '魚', 'を', '生', '体の', 'ま', 'ま', '捕', '獲', 'にあた', 'って', '、', '急', '激', 'な', '減', '圧', 'と何', 'が', '浮', '上', 'に', '伴', 'う', '大きな', '2', 'つの', '問題', 'と', 'されていますか', '?', '▁', '</s>', '▁高', '<ja>']"
"['<ja>', '▁モ', 'ダン', '・', '[MASK]', 'エ', '、', 'ドラ', 'マ', 'ティ', 'ック', '・', '[MASK]', 'エ', '、', 'ア', 'ブ', '[MASK]', 'ラク', 'ト', '・', '[MASK]', 'エ', 'のうち', '、', '一番', '先に', '誕生', 'した', '[MASK]', 'エ', 'は何ですか', '。', '▁', '</s>', '▁モ']","['<ja>', '▁モ', 'ダン', '・', 'バレ', 'エ', '、', 'ドラ', 'マ', 'ティ', 'ック', '・', 'バレ', 'エ', '、', 'ア', 'ブ', 'スト', 'ラク', 'ト', '・', 'バレ', 'エ', 'のうち', '、', '一番', '先に', '誕生', 'した', 'バレ', 'エ', 'は何ですか', '。', '▁', '</s>', '▁モ']","['▁モ', 'ダン', '・', 'バレ', 'エ', '、', 'ドラ', 'マ', 'ティ', 'ック', '・', 'バレ', 'エ', '、', 'ア', 'ブ', 'スト', 'ラク', 'ト', '・', 'バレ', 'エ', 'のうち', '、', '一番', '先に', '誕生', 'した', 'バレ', 'エ', 'は何ですか', '。', '▁', '</s>', '▁モ', '<ja>']"
"['<ja>', '▁14', '11', '年', 'をも', 'って', 'ポルト', 'ガル', '[MASK]', 'は', '、', 'ジョ', 'アン', '1', '世と', '誰が', '共同', 'で', '統治', 'しましたか', '?', '▁', '</s>', '▁カ', '[MASK]', 'ーリ', 'ャ', '[MASK]', 'との', '最初の', '休', '戦', '協定', 'は', '、', '[MASK]']","['<ja>', '▁14', '11', '年', 'をも', 'って', 'ポルト', 'ガル', '王国', 'は', '、', 'ジョ', 'アン', '1', '世と', '誰が', '共同', 'で', '統治', 'しましたか', '?', '▁', '</s>', '▁カ', 'スティ', 'ーリ', 'ャ', '王国', 'との', '最初の', '休', '戦', '協定', 'は', '、', '何年に']","['▁14', '11', '年', 'をも', 'って', 'ポルト', 'ガル', '王国', 'は', '、', 'ジョ', 'アン', '1', '世と', '誰が', '共同', 'で', '統治', 'しましたか', '?', '▁', '</s>', '▁カ', 'スティ', 'ーリ', 'ャ', '王国', 'との', '最初の', '休', '戦', '協定', 'は', '、', '何年に', '<ja>']"
"['<ja>', '[MASK]', 'タイ', 'イタイ', '病', 'の初', '期', '、', '示', 'される', '検', '査', '所', '見', 'はどう', 'ですか', '?', '▁', '[MASK]', '▁', '骨', '量', 'の', '減少', 'はどの', '[MASK]', 'による', 'ものですか', '?', '▁', '[MASK]', '[MASK]', 'タイ', 'イタイ', '病の', '進']","['<ja>', '▁イ', 'タイ', 'イタイ', '病', 'の初', '期', '、', '示', 'される', '検', '査', '所', '見', 'はどう', 'ですか', '?', '▁', '</s>', '▁', '骨', '量', 'の', '減少', 'はどの', '症状', 'による', 'ものですか', '?', '▁', '</s>', '▁イ', 'タイ', 'イタイ', '病の', '進']","['▁イ', 'タイ', 'イタイ', '病', 'の初', '期', '、', '示', 'される', '検', '査', '所', '見', 'はどう', 'ですか', '?', '▁', '</s>', '▁', '骨', '量', 'の', '減少', 'はどの', '症状', 'による', 'ものですか', '?', '▁', '</s>', '▁イ', 'タイ', 'イタイ', '病の', '進', '<ja>']"
"['<ja>', '▁サン', 'デーサイレン', 'スが', '198', '8', '年に', '出', '走', 'した', '3', '度', 'の', 'レー', 'スの', '内', '、', '最も', '多かった', '順', '位', 'は', '?', '▁', '</s>', '▁', '調', '教', 'を', '進', 'める', '[MASK]', 'で', 'サン', 'デーサイレン', 'スの']","['<ja>', '▁サン', 'デーサイレン', 'スが', '198', '8', '年に', '出', '走', 'した', '3', '度', 'の', 'レー', 'スの', '内', '、', '最も', '多かった', '順', '位', 'は', '?', '▁', '</s>', '▁', '調', '教', 'を', '進', 'める', 'なか', 'で', 'サン', 'デーサイレン', 'スの']","['▁サン', 'デーサイレン', 'スが', '198', '8', '年に', '出', '走', 'した', '3', '度', 'の', 'レー', 'スの', '内', '、', '最も', '多かった', '順', '位', 'は', '?', '▁', '</s>', '▁', '調', '教', 'を', '進', 'める', 'なか', 'で', 'サン', 'デーサイレン', 'スの', '<ja>']"
"['<ja>', '▁ゴジラ', 'シリーズ', 'が', '[MASK]', '[MASK]', '1', '本', 'の', 'ペ', 'ース', 'で', '公開', '[MASK]', '[MASK]', '年以降', '、', '何年', 'まで', '[MASK]', '[MASK]', '[MASK]', '</s>', '[MASK]', '評価', 'を得', 'なかった', 'ため', '、', '昭和', 'の人', '気', '怪', '[MASK]', 'の', '再']","['<ja>', '▁ゴジラ', 'シリーズ', 'が', '毎', '年', '1', '本', 'の', 'ペ', 'ース', 'で', '公開', 'されたのは', '1991', '年以降', '、', '何年', 'まで', 'ですか', '?', '▁', '</s>', '▁', '評価', 'を得', 'なかった', 'ため', '、', '昭和', 'の人', '気', '怪', '獣', 'の', '再']","['▁ゴジラ', 'シリーズ', 'が', '毎', '年', '1', '本', 'の', 'ペ', 'ース', 'で', '公開', 'されたのは', '1991', '年以降', '、', '何年', 'まで', 'ですか', '?', '▁', '</s>', '▁', '評価', 'を得', 'なかった', 'ため', '、', '昭和', 'の人', '気', '怪', '獣', 'の', '再', '<ja>']"
"['<ja>', '[MASK]', 'が', 'マ', 'レー', '作戦', 'に', '続', 'いて', '攻撃', 'したのは', '、', 'アメリカの', 'どの地域', 'なのか', '?', '▁', '</s>', '[MASK]', 'が', 'マ', 'レー', '作戦', 'に', '続', 'いて', 'アメリカの', '真珠', '湾', '[MASK]', 'したの', 'を', '、', '何と呼ぶか', '??', '▁']","['<ja>', '▁日本', 'が', 'マ', 'レー', '作戦', 'に', '続', 'いて', '攻撃', 'したのは', '、', 'アメリカの', 'どの地域', 'なのか', '?', '▁', '</s>', '▁日本', 'が', 'マ', 'レー', '作戦', 'に', '続', 'いて', 'アメリカの', '真珠', '湾', 'を攻撃', 'したの', 'を', '、', '何と呼ぶか', '??', '▁']","['▁日本', 'が', 'マ', 'レー', '作戦', 'に', '続', 'いて', '攻撃', 'したのは', '、', 'アメリカの', 'どの地域', 'なのか', '?', '▁', '</s>', '▁日本', 'が', 'マ', 'レー', '作戦', 'に', '続', 'いて', 'アメリカの', '真珠', '湾', 'を攻撃', 'したの', 'を', '、', '何と呼ぶか', '??', '▁', '<ja>']"
"['<ja>', '▁', '乾', '燥', '[MASK]', '特', '有', 'の', '香', 'り', 'を発', 'するのは', '[MASK]', '[MASK]', 'タケ', 'と', 'ツ', 'キ', 'ヨ', 'タケ', 'のどちらですか', '?', '▁', '</s>', '▁', '強', '[MASK]', 'な', '肉', '[MASK]', '[MASK]', 'ものは', '[MASK]', '[MASK]', 'タケ', 'と']","['<ja>', '▁', '乾', '燥', 'すると', '特', '有', 'の', '香', 'り', 'を発', 'するのは', 'シ', 'イ', 'タケ', 'と', 'ツ', 'キ', 'ヨ', 'タケ', 'のどちらですか', '?', '▁', '</s>', '▁', '強', '靭', 'な', '肉', 'をも', 'つ', 'ものは', 'シ', 'イ', 'タケ', 'と']","['▁', '乾', '燥', 'すると', '特', '有', 'の', '香', 'り', 'を発', 'するのは', 'シ', 'イ', 'タケ', 'と', 'ツ', 'キ', 'ヨ', 'タケ', 'のどちらですか', '?', '▁', '</s>', '▁', '強', '靭', 'な', '肉', 'をも', 'つ', 'ものは', 'シ', 'イ', 'タケ', 'と', '<ja>']"
"['<ja>', '▁', '焼', '戻', 'し', '軟', '化', '抵抗', 'が大き', 'く', '働', 'く', '元素', 'とは', '、', 'クロ', 'ム', '、', 'モ', 'リ', 'ブ', 'デン', '、', 'バ', '[MASK]', 'ジ', 'ウム', 'の他', 'に何', 'がある', '?', '▁', '</s>', '▁', '焼', '戻']","['<ja>', '▁', '焼', '戻', 'し', '軟', '化', '抵抗', 'が大き', 'く', '働', 'く', '元素', 'とは', '、', 'クロ', 'ム', '、', 'モ', 'リ', 'ブ', 'デン', '、', 'バ', 'ナ', 'ジ', 'ウム', 'の他', 'に何', 'がある', '?', '▁', '</s>', '▁', '焼', '戻']","['▁', '焼', '戻', 'し', '軟', '化', '抵抗', 'が大き', 'く', '働', 'く', '元素', 'とは', '、', 'クロ', 'ム', '、', 'モ', 'リ', 'ブ', 'デン', '、', 'バ', 'ナ', 'ジ', 'ウム', 'の他', 'に何', 'がある', '?', '▁', '</s>', '▁', '焼', '戻', '<ja>']"
"['<ja>', 'か', '[MASK]', '▁', '</s>', '▁レ', 'ッド', '計画', 'で', '主に', '戦', '場', 'として', '想', '定', 'されたのは', '、', 'どの国か', '[MASK]', '▁', '</s>', '▁レ', 'ッド', '計画', '[MASK]', '更新', 'されたのは何年', 'か', '[MASK]', '▁', '</s>', '▁レ', 'ッド', '計画', '[MASK]', '更新']","['<ja>', 'か', '?', '▁', '</s>', '▁レ', 'ッド', '計画', 'で', '主に', '戦', '場', 'として', '想', '定', 'されたのは', '、', 'どの国か', '?', '▁', '</s>', '▁レ', 'ッド', '計画', 'が', '更新', 'されたのは何年', 'か', '?', '▁', '</s>', '▁レ', 'ッド', '計画', 'が', '更新']","['か', '?', '▁', '</s>', '▁レ', 'ッド', '計画', 'で', '主に', '戦', '場', 'として', '想', '定', 'されたのは', '、', 'どの国か', '?', '▁', '</s>', '▁レ', 'ッド', '計画', 'が', '更新', 'されたのは何年', 'か', '?', '▁', '</s>', '▁レ', 'ッド', '計画', 'が', '更新', '<ja>']"
"['<ja>', '▁', '[MASK]', '客', '[MASK]', '[MASK]', '員', 'のうち', '、19', '79', '年', '5', '月', '[MASK]', '日の', '便', 'に', '搭', '[MASK]', 'した人', '数', 'がより', '多', 'かったのは', '、', 'どちらなの', '?', '▁', '</s>', '▁', '事故', 'になった', 'アメリカ', 'ン', '航空', '19']","['<ja>', '▁', '乗', '客', 'と', '乗', '員', 'のうち', '、19', '79', '年', '5', '月', '25', '日の', '便', 'に', '搭', '乗', 'した人', '数', 'がより', '多', 'かったのは', '、', 'どちらなの', '?', '▁', '</s>', '▁', '事故', 'になった', 'アメリカ', 'ン', '航空', '19']","['▁', '乗', '客', 'と', '乗', '員', 'のうち', '、19', '79', '年', '5', '月', '25', '日の', '便', 'に', '搭', '乗', 'した人', '数', 'がより', '多', 'かったのは', '、', 'どちらなの', '?', '▁', '</s>', '▁', '事故', 'になった', 'アメリカ', 'ン', '航空', '19', '<ja>']"
"['<ja>', '▁', '[MASK]', '児', '[MASK]', '県', 'と', '[MASK]', '県', 'はどちらが', '早く', '[MASK]', '数量', '[MASK]', '自', '主', '規', '制', '[MASK]', '始', '[MASK]', '?', '▁', '</s>', '▁第', '3', '次', '焼', '酎', 'ブ', 'ーム', '[MASK]', '牽', '引', 'した', '焼']","['<ja>', '▁', '鹿', '児', '島', '県', 'と', '宮崎', '県', 'はどちらが', '早く', '製造', '数量', 'の', '自', '主', '規', '制', 'を', '始', 'めましたか', '?', '▁', '</s>', '▁第', '3', '次', '焼', '酎', 'ブ', 'ーム', 'を', '牽', '引', 'した', '焼']","['▁', '鹿', '児', '島', '県', 'と', '宮崎', '県', 'はどちらが', '早く', '製造', '数量', 'の', '自', '主', '規', '制', 'を', '始', 'めましたか', '?', '▁', '</s>', '▁第', '3', '次', '焼', '酎', 'ブ', 'ーム', 'を', '牽', '引', 'した', '焼', '<ja>']"
"['<ja>', '▁『', 'ある', '心', 'の', '風', '[MASK]', '』', 'は何を', '素', '材', 'に', '書か', 'れましたか', '。', '▁', '</s>', '[MASK]', '視', 'る', 'こと', '[MASK]', 'それ', 'は', 'も', 'う', 'な', 'に', 'か', 'なの', 'だ', '。', '自分', 'の', '魂', 'の一']","['<ja>', '▁『', 'ある', '心', 'の', '風', '景', '』', 'は何を', '素', '材', 'に', '書か', 'れましたか', '。', '▁', '</s>', '▁「', '視', 'る', 'こと', '、', 'それ', 'は', 'も', 'う', 'な', 'に', 'か', 'なの', 'だ', '。', '自分', 'の', '魂', 'の一']","['▁『', 'ある', '心', 'の', '風', '景', '』', 'は何を', '素', '材', 'に', '書か', 'れましたか', '。', '▁', '</s>', '▁「', '視', 'る', 'こと', '、', 'それ', 'は', 'も', 'う', 'な', 'に', 'か', 'なの', 'だ', '。', '自分', 'の', '魂', 'の一', '<ja>']"
"['<ja>', '▁「', 'ア', 'シ', 'クラ', 'ツィ', 'オー', 'ニ', '・', 'ジェ', 'ネ', 'ラ', 'リ', '」', 'を', '辞', 'めて', '最', '就', '[MASK]', 'したのは', 'どこですか', '?', '▁', '</s>', '▁カ', 'フカ', '[MASK]', '文学', '作品', 'が初めて', '掲載', 'された', '文', '芸', '[MASK]']","['<ja>', '▁「', 'ア', 'シ', 'クラ', 'ツィ', 'オー', 'ニ', '・', 'ジェ', 'ネ', 'ラ', 'リ', '」', 'を', '辞', 'めて', '最', '就', '職', 'したのは', 'どこですか', '?', '▁', '</s>', '▁カ', 'フカ', 'の', '文学', '作品', 'が初めて', '掲載', 'された', '文', '芸', '誌']","['▁「', 'ア', 'シ', 'クラ', 'ツィ', 'オー', 'ニ', '・', 'ジェ', 'ネ', 'ラ', 'リ', '」', 'を', '辞', 'めて', '最', '就', '職', 'したのは', 'どこですか', '?', '▁', '</s>', '▁カ', 'フカ', 'の', '文学', '作品', 'が初めて', '掲載', 'された', '文', '芸', '誌', '<ja>']"
